User: 127.0.0.1:58860, Action: END_GAME, Value: 35
User: 127.0.0.1:58860, Action: END_GAME, Value: 35
User: 127.0.0.1:58860, Action: BUY_ITEM, Value: 4294967172
User: 127.0.0.1:58860, Action: END_GAME, Value: 108
User: 127.0.0.1:58860, Action: END_GAME, Value: 35
User: 127.0.0.1:58860, Action: BUY_ITEM, Value: 4294967172
User: 127.0.0.1:58860, Action: END_GAME, Value: 108
User: 127.0.0.1:58860, Action: OPEN_GAME, Value: 4294967214
User: 127.0.0.1:58860, Action: BUY_ITEM, Value: 4294967184
User: 127.0.0.1:58860, Action: END_GAME, Value: 4294967281
User: 127.0.0.1:58860, Action: END_GAME, Value: 35
User: 127.0.0.1:58860, Action: BUY_ITEM, Value: 4294967172
User: 127.0.0.1:58860, Action: END_GAME, Value: 108
User: 127.0.0.1:58860, Action: OPEN_GAME, Value: 4294967214
User: 127.0.0.1:58860, Action: BUY_ITEM, Value: 4294967184
User: 127.0.0.1:58860, Action: END_GAME, Value: 4294967281
User: 127.0.0.1:58860, Action: BEGIN_GAME, Value: 4294967227
User: 127.0.0.1:58860, Action: BEGIN_GAME, Value: 4294967275
User: 127.0.0.1:58860, Action: BEGIN_GAME, Value: 4294967206
User: 127.0.0.1:58860, Action: LOSE_LIFE, Value: 60
User: 127.0.0.1:58860, Action: LOSE_LIFE, Value: 12
User: 127.0.0.1:58860, Action: END_LEVEL, Value: 4294967193
User: 127.0.0.1:58860, Action: BUY_ITEM, Value: 94
User: 127.0.0.1:58860, Action: LOSE_LIFE, Value: 28
User: 127.0.0.1:58860, Action: END_LEVEL, Value: 4294967223
User: 127.0.0.1:58860, Action: END_GAME, Value: 4294967262
User: 127.0.0.1:58860, Action: END_GAME, Value: 35
User: 127.0.0.1:58860, Action: BUY_ITEM, Value: 4294967172
User: 127.0.0.1:58860, Action: END_GAME, Value: 108
User: 127.0.0.1:58860, Action: OPEN_GAME, Value: 4294967214
User: 127.0.0.1:58860, Action: BUY_ITEM, Value: 4294967184
User: 127.0.0.1:58860, Action: END_GAME, Value: 4294967281
User: 127.0.0.1:58860, Action: BEGIN_GAME, Value: 4294967227
User: 127.0.0.1:58860, Action: BEGIN_GAME, Value: 4294967275
User: 127.0.0.1:58860, Action: BEGIN_GAME, Value: 4294967206
User: 127.0.0.1:58860, Action: LOSE_LIFE, Value: 60
User: 127.0.0.1:58860, Action: LOSE_LIFE, Value: 12
User: 127.0.0.1:58860, Action: END_LEVEL, Value: 4294967193
User: 127.0.0.1:58860, Action: BUY_ITEM, Value: 94
User: 127.0.0.1:58860, Action: LOSE_LIFE, Value: 28
